 Stress  Time  Transport     Total         MNW   Layer  Row Column  Average
 Period  Step    Step     Elapsed Time    Group   [K]   [I]  [J]     Conc.     
    1      1       1      0.000000           1     1    51    51    100.0000    
    1      1       2      627.0118           1     1    51    51    100.0010    
    1      2       1      1316.725           1     1    51    51    99.98669    
    1      3       1      2075.409           1     1    51    51    99.98524    
    1      4       1      2909.962           1     1    51    51    99.98806    
    1      5       1      3827.970           1     1    51    51    99.98958    
    1      6       1      4837.779           1     1    51    51    99.99067    
    1      7       1      5948.569           1     1    51    51    99.99131    
    1      8       1      7170.438           1     1    51    51    99.99168    
    1      9       1      8514.494           1     1    51    51    99.99702    
    1     10       1      9992.956           1     1    51    51    100.0003    
    1     11       1      11619.26           1     1    51    51    100.0022    
    1     12       1      13408.20           1     1    51    51    100.0080    
    1     13       1      15376.03           1     1    51    51    100.0115    
    1     14       1      17540.65           1     1    51    51    100.0126    
    1     15       1      19921.73           1     1    51    51    100.0135    
    1     16       1      22540.91           1     1    51    51    100.0141    
    1     17       1      25422.02           1     1    51    51    100.0142    
    1     18       1      28591.23           1     1    51    51    100.0149    
    1     19       1      32077.37           1     1    51    51    100.0148    
    1     20       1      35912.12           1     1    51    51    100.0146    
    1     21       1      40130.34           1     1    51    51    100.0150    
    1     22       1      44770.39           1     1    51    51    100.0150    
    1     23       1      49874.44           1     1    51    51    100.0148    
    1     24       1      55488.90           1     1    51    51    100.0147    
    1     25       1      61664.80           1     1    51    51    100.0147    
    1     26       1      68458.30           1     1    51    51    100.0145    
    1     27       1      75931.14           1     1    51    51    100.0194    
    1     28       1      84151.27           1     1    51    51    100.0139    
    1     29       1      93193.41           1     1    51    51    100.0143    
    1     30       1      103139.8           1     1    51    51    100.0182    
    1     31       1      114080.8           1     1    51    51    100.0165    
    1     32       1      126115.8           1     1    51    51    100.0152    
    1     33       1      139354.4           1     1    51    51    100.0206    
    1     34       1      153916.9           1     1    51    51    100.0136    
    1     35       1      169935.6           1     1    51    51    100.0153    
    1     36       1      187556.2           1     1    51    51    100.0177    
    1     37       1      206938.8           1     1    51    51    100.0157    
    1     38       1      228259.7           1     1    51    51    100.0177    
    1     39       1      251712.7           1     1    51    51    100.0172    
    1     40       1      277511.0           1     1    51    51    100.0233    
    1     41       1      305889.1           1     1    51    51    100.0154    
    1     42       1      337105.1           1     1    51    51    100.0177    
    1     43       1      371442.6           1     1    51    51    100.0282    
    1     44       1      409213.9           1     1    51    51    100.0142    
    1     45       1      450762.3           1     1    51    51    100.0172    
    1     46       1      493067.0           1     1    51    51    100.0252    
    1     46       2      496465.5           1     1    51    51    100.0253    
    1     47       1      538950.6           1     1    51    51    100.0129    
    1     47       2      546739.1           1     1    51    51    100.0126    
    1     48       1      589393.8           1     1    51    51    100.0157    
    1     48       2      602040.1           1     1    51    51    100.0159    
    1     49       1      644864.3           1     1    51    51    100.0162    
    1     49       2      662871.1           1     1    51    51    100.0162    
    1     50       1      705860.9           1     1    51    51    100.0151    
    1     50       2      729785.2           1     1    51    51    100.0147    
    1     51       1      772932.9           1     1    51    51    100.0170    
    1     51       2      803390.8           1     1    51    51    100.0167    
    1     52       1      846695.9           1     1    51    51    100.0131    
    1     52       2      884356.9           1     1    51    51    100.0110    
    1     53       1      927813.2           1     1    51    51    100.0087    
    1     53       2      973419.6           1     1    51    51    100.0057    
    1     54       1      1000000.           1     1    51    51    100.0031    
    1     54       2      1047962.           1     1    51    51    99.99889    
    1     54       3      1071389.           1     1    51    51    99.99654    
    1     55       1      1115128.           1     1    51    51    99.99148    
    1     55       2      1163241.           1     1    51    51    99.98467    
    1     55       3      1179154.           1     1    51    51    99.98226    
    1     56       1      1223025.           1     1    51    51    99.97388    
    1     56       2      1271282.           1     1    51    51    99.96398    
    1     56       3      1297697.           1     1    51    51    99.95810    
    1     57       1      1341690.           1     1    51    51    99.94611    
    1     57       2      1390083.           1     1    51    51    99.93228    
    1     57       3      1428094.           1     1    51    51    99.92036    
    1     58       1      1472200.           1     1    51    51    99.90424    
    1     58       2      1520717.           1     1    51    51    99.88531    
    1     58       3      1571530.           1     1    51    51    99.86318    
    1     59       1      1615739.           1     1    51    51    99.84125    
